experiment_id,scenario,sequence,model_time,output_channel,prediction,target,largest_term_name,largest_term_value,second_largest_term_name,second_largest_term_value,sum_linear,sum_quadratic,sum_cubic,sum_interactions,bias,perturbation_state,observation_half_life,forward_half_life
D_n3,perturbation_memory_reset,341,1.002,perturbation_state,3.0952233506467855e+48,0.8,price_velocity_x_acceleration^3,3.095223350646716e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.7707222767884376e+32,3.095223350646786e+48,3.095223350646716e+48,5.0,1.5476116753233928e+48,1.5476116753233934e+48,1.5476116753233934e+48
E_n3,perturbation_memory_reset,341,1.002,direction_state,-3.0952233506467855e+48,-1.0,price_velocity_x_acceleration^3,-3.095223350646716e+48,volume_density^3,-6.590629710951931e+34,-1642766756123.6104,1.7707222767898416e+32,-3.095223350646786e+48,-3.095223350646716e+48,-5.0,1.5476116753233928e+48,1.5476116753233928e+48,1.5476116753233928e+48
E_n3,perturbation_memory_reset,341,1.002,magnitude_state,-3.0952233506467855e+48,0.09233218963617283,price_velocity_x_acceleration^3,-3.095223350646716e+48,volume_density^3,-6.590629710951931e+34,-1642766756123.6104,1.770722276789315e+32,-3.095223350646786e+48,-3.095223350646716e+48,-5.0,1.5476116753233928e+48,1.5476116753233928e+48,1.5476116753233928e+48
E_n3,perturbation_memory_reset,341,1.002,strength,3.0952233506467855e+48,0.9355510028816475,price_velocity_x_acceleration^3,3.095223350646716e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.770722276788541e+32,3.095223350646786e+48,3.095223350646716e+48,5.0,1.5476116753233928e+48,1.5476116753233928e+48,1.5476116753233928e+48
E_n3,perturbation_memory_reset,341,1.002,persistence,3.0952233506467855e+48,0.016666666666666666,price_velocity_x_acceleration^3,3.095223350646716e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.7707222767892853e+32,3.095223350646786e+48,3.095223350646716e+48,5.0,1.5476116753233928e+48,1.5476116753233928e+48,1.5476116753233928e+48
E_n3,perturbation_memory_reset,341,1.002,observation_half_life,3.0952233506467855e+48,5.0,price_velocity_x_acceleration^3,3.095223350646716e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.77072227678129e+32,3.095223350646786e+48,3.095223350646716e+48,5.0,1.5476116753233928e+48,1.5476116753233928e+48,1.5476116753233928e+48
E_n3,perturbation_memory_reset,341,1.002,forward_half_life,3.0952233506467855e+48,5.0,price_velocity_x_acceleration^3,3.095223350646716e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.77072227678129e+32,3.095223350646786e+48,3.095223350646716e+48,5.0,1.5476116753233928e+48,1.5476116753233928e+48,1.5476116753233928e+48
E_n3,perturbation_memory_reset,341,1.002,reinforcement,-3.0952233506467855e+48,0.010000000000000037,price_velocity_x_acceleration^3,-3.095223350646716e+48,volume_density^3,-6.590629710951931e+34,-1642766756123.6104,1.770722276789399e+32,-3.095223350646786e+48,-3.095223350646716e+48,-5.0,1.5476116753233928e+48,1.5476116753233928e+48,1.5476116753233928e+48
E_n3,perturbation_memory_reset,341,1.002,uncertainty,3.0952233506467855e+48,0.2644489971183525,price_velocity_x_acceleration^3,3.095223350646716e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.7707222767882607e+32,3.095223350646786e+48,3.095223350646716e+48,5.0,1.5476116753233928e+48,1.5476116753233928e+48,1.5476116753233928e+48
E_n3,perturbation_memory_reset,341,1.002,reversal_tendency,3.0952233506467855e+48,0.7,price_velocity_x_acceleration^3,3.095223350646716e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.7707222767887622e+32,3.095223350646786e+48,3.095223350646716e+48,5.0,1.5476116753233928e+48,1.5476116753233928e+48,1.5476116753233928e+48
E_n3,perturbation_memory_reset,341,1.002,perturbation_state,3.0952233506467855e+48,0.8,price_velocity_x_acceleration^3,3.095223350646716e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.7707222767884376e+32,3.095223350646786e+48,3.095223350646716e+48,5.0,1.5476116753233928e+48,1.5476116753233928e+48,1.5476116753233928e+48
D_n3,reversal_after_persistence,541,1.002,observation_half_life,3.09094629789212e+48,300.0,price_velocity_x_acceleration^3,3.090946297892003e+48,volume_density^3,1.1374338967537114e+35,955145760551.0695,3.446616131443039e+32,3.0909462978921196e+48,3.090946297892003e+48,5.0,1.5454731489460598e+48,1.54547314894606e+48,1.54547314894606e+48
D_n3,reversal_after_persistence,541,1.002,forward_half_life,3.09094629789212e+48,300.0,price_velocity_x_acceleration^3,3.090946297892003e+48,volume_density^3,1.1374338967537114e+35,955145760551.0695,3.446616131443039e+32,3.0909462978921196e+48,3.090946297892003e+48,5.0,1.5454731489460598e+48,1.54547314894606e+48,1.54547314894606e+48
