experiment_id,scenario,model_time,output_channel,prediction,largest_term_name,largest_term_value,second_largest_term_name,second_largest_term_value,sum_linear,sum_quadratic,sum_cubic,sum_interactions,bias
A_n1,quiet_market,16.002,perturbation_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,17.002,direction_state,0.0,price_displacement,0.01629729858983578,price_velocity,0.01629729858983578,0.02704274150676841,0,0,0.0,0.003256069248167154
A_n1,quiet_market,17.002,magnitude_state,0.0,bias,0.07538675736016477,price_displacement,-0.016878419342797223,-0.031054143491813912,0,0,0.0,0.07538675736016477
A_n1,quiet_market,17.002,strength,0.0,bias,0.06874386321234721,price_displacement,-0.007265638090395134,-0.014631815047394574,0,0,0.0,0.06874386321234721
A_n1,quiet_market,17.002,persistence,0.0,bias,0.028226841798210042,price_displacement,-0.0023492232327529776,-0.004730954794406559,0,0,0.0,0.028226841798210042
A_n1,quiet_market,17.002,observation_half_life,0.0,bias,5.0,price_displacement,-0.7012828443079148,-1.4132705629230817,0,0,0.0,5.0
A_n1,quiet_market,17.002,forward_half_life,0.0,bias,5.0,price_displacement,-0.7012828443079148,-1.4132705629230817,0,0,0.0,5.0
A_n1,quiet_market,17.002,reinforcement,0.0,bias,-0.0033406169505446944,price_displacement,-0.00039746883723859795,-0.0006341674552174827,0,0,0.0,-0.0033406169505446944
A_n1,quiet_market,17.002,uncertainty,0.0,bias,0.072390345778703,price_displacement,-0.0044804780733697525,-0.009022958924638216,0,0,0.0,0.072390345778703
A_n1,quiet_market,17.002,reversal_tendency,0.0,bias,0.004844041581269296,price_acceleration,-0.0004108376218812236,-0.00035176244936287345,0,0,0.0,0.004844041581269296
A_n1,quiet_market,17.002,perturbation_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,18.002,direction_state,0.0,bias,0.032347056084480366,price_acceleration,-0.009362676510380521,0.0010625097788370553,0,0,0.0,0.032347056084480366
A_n1,quiet_market,18.002,magnitude_state,0.0,bias,0.08060247579584662,price_displacement,-0.004902256562206098,-0.005041254430696346,0,0,0.0,0.08060247579584662
A_n1,quiet_market,18.002,strength,0.0,bias,0.08511947060945045,price_displacement,-0.0019118883152596715,-0.0038253121577375986,0,0,0.0,0.08511947060945045
