experiment_id,parameter,count,min,max,mean,std,p01,p05,p50,p95,p99,abs_max,starting_value,ending_value
A_n3,persistence:spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:spread^2,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:spread^3,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:spread_change^2,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:spread_change^3,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_density,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_density^2,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_density^3,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_density_x_price_displacement,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_log,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_log^2,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_log^3,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_log_x_price_displacement,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_movement_abs,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_movement_abs^2,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_movement_abs^3,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_movement_signed,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_movement_signed^2,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,persistence:volume_movement_signed^3,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,perturbation_state:bias,925,-5.0,5.0,-0.3738368343917782,1.2980001853413181,-4.725112189477169,-2.871427967638409,-0.1331013522004986,1.4866682408401017,3.0429525326790436,5.0,0.0,0.02761381053334372
A_n3,perturbation_state:directional_volume,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,perturbation_state:directional_volume^2,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,perturbation_state:directional_volume^3,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,perturbation_state:price_acceleration,925,-5.0,5.0,0.0615868806623468,2.276788005410775,-4.982150403547118,-3.174341602787304,0.0,4.685097570495526,5.0,5.0,0.0,-2.2274245918744837
A_n3,perturbation_state:price_acceleration^2,925,-5.0,5.0,-0.83534876045196,2.292466485797706,-5.0,-4.992786633921227,-0.3624169329112143,2.956278164166888,4.908933547206063,5.0,0.0,-2.9604587392969064
A_n3,perturbation_state:price_acceleration^3,925,-5.0,5.0,0.47477135714588276,2.407985825116289,-5.0,-4.041646055861901,0.0,4.980699009110727,5.0,5.0,0.0,0.10755808028543715
A_n3,perturbation_state:price_displacement,925,-5.0,5.0,0.487467968439959,1.4748331042205243,-3.845324390969808,-0.7655083095783032,0.02481562688408665,3.906570685650798,4.993412136653494,5.0,0.0,0.17925334383486063
A_n3,perturbation_state:price_displacement^2,925,-5.0,5.0,-0.009154206516586015,2.00203921784951,-5.0,-4.67941409787338,0.01418666050917362,3.686546412690466,5.0,5.0,0.0,3.8175054775872304
A_n3,perturbation_state:price_displacement^3,925,-5.0,5.0,-0.06836888692018146,1.96184504037245,-5.0,-4.328393096948388,-0.008693306658737231,3.721107246011511,5.0,5.0,0.0,2.827732336824606
A_n3,perturbation_state:price_velocity,925,-5.0,5.0,0.40666547417649124,1.6166615669750959,-4.803327140363242,-1.1353847844132792,0.009032002574189617,4.011227727135245,5.0,5.0,0.0,-1.1747375756546041
